Camila,Belda,Puebla de Zaragoza,13,nice
Julio,Aleman,Tijuana,12,nice
Jimena,Espinar,Monterrey,8,nice
Yolanda,Villacres,Guadalajara,11,nice
David,Tejedor,Nezahualcoyotl,10,nice
Camila,Belda,Puebla de Zaragoza,12,nice
Esperanza,Villacres,Tijuana,8,nice
Lucas,Lopez,Ciudad de Mexico,11,nice
Ana,Tejedor,Nezahualcoyotl,10,nice
Elisa,Davalos,Ciudad Juarez,6,naughty
Nuria,Ciceron,Tijuana,13,nice
Martina,Cortez,Monterrey,8,naughty
Jesus,Ciceron,Ciudad Juarez,8,nice
Yolanda,Velazquez,Nezahualcoyotl,5,nice
Paula,Ocampo,Ciudad Juarez,6,nice
Pablo,Alcocer,Ciudad de Mexico,7,naughty
Elisa,Campos,Ecatepec,10,nice
David,Leguizamo,Ciudad de Mexico,11,naughty
Domingo,Fonseca,Ecatepec,11,nice
Elisa,Espinar,Ciudad de Mexico,8,nice
